,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
0,B,ad,Project Management,18,medium
1,C,ad,Project Management,32,medium
2,B,ac,Maintenance,40,low
3,B,ab,Maintenance,29,medium
4,D,ad,Project Management,3,high
5,A,ab,Maintenance,30,low
6,D,ac,Engineer,20,high
7,C,ae,Engineer,8,high
8,A,ab,Project Management,44,low
9,B,ac,Project Management,25,medium
10,B,ab,Project Management,38,low
11,C,ac,Engineer,28,medium
12,B,aa,Maintenance,30,low
13,B,ad,Project Management,25,medium
14,C,ae,Project Management,12,high
15,D,ad,Project Management,6,high
16,A,ac,Project Management,43,low
17,C,ad,Engineer,11,high
18,D,ae,Project Management,3,high
19,C,ad,Engineer,22,medium
20,C,ad,Engineer,12,high
21,C,ac,Project Management,33,medium
22,A,ab,Project Management,44,low
23,C,ae,Project Management,17,high
24,D,ac,Project Management,15,high
25,C,ab,Project Management,18,medium
26,A,aa,Maintenance,49,low
27,A,aa,Maintenance,50,low
28,A,ac,Maintenance,43,low
29,A,aa,Project Management,40,low
30,A,ac,Project Management,36,low
31,C,ad,Engineer,16,medium
32,B,ac,Project Management,30,low
33,C,ac,Project Management,33,medium
34,C,ac,Project Management,27,medium
35,A,ab,Project Management,52,low
36,B,ad,Maintenance,32,medium
37,C,ab,Engineer,15,medium
38,C,ad,Project Management,21,medium
39,A,aa,Maintenance,49,low
40,C,ad,Project Management,34,medium
41,A,aa,Maintenance,30,low
42,D,ae,Project Management,11,high
43,D,ad,Engineer,13,high
44,D,ae,Project Management,8,high
45,C,ad,Project Management,4,high
46,C,ad,Engineer,12,high
47,C,ac,Engineer,29,medium
48,A,aa,Project Management,30,low
49,C,ac,Engineer,26,medium
50,B,ab,Maintenance,25,medium
51,C,ad,Maintenance,24,medium
52,C,ad,Project Management,27,medium
53,B,ac,Project Management,32,low
54,C,ac,Project Management,7,high
55,D,ac,Project Management,14,high
56,A,aa,Maintenance,49,low
57,A,ac,Maintenance,30,low
58,D,ae,Project Management,4,high
59,D,ac,Project Management,21,high
60,B,ab,Project Management,43,low
61,C,ac,Project Management,9,high
62,C,ab,Project Management,25,medium
63,C,ab,Engineer,29,medium
64,D,ac,Engineer,16,high
65,A,aa,Project Management,45,low
66,B,ac,Project Management,48,low
67,C,ab,Engineer,17,medium
68,D,ae,Project Management,17,high
69,D,ad,Project Management,17,high
70,D,ad,Project Management,17,high
71,A,ab,Project Management,42,low
72,C,ae,Engineer,18,high
73,B,aa,Project Management,29,low
74,C,ae,Project Management,14,high
75,C,ab,Project Management,31,medium
76,B,ab,Project Management,20,medium
77,B,ab,Project Management,47,low
78,A,aa,Project Management,48,low
79,C,ae,Engineer,19,high
80,C,ac,Project Management,16,medium
81,D,ae,Project Management,18,high
82,B,aa,Maintenance,51,low
83,A,ac,Project Management,43,low
84,C,ad,Engineer,15,medium
85,B,aa,Maintenance,46,low
86,D,ad,Engineer,5,high
87,A,aa,Maintenance,36,low
88,B,aa,Project Management,32,low
89,B,ad,Maintenance,31,medium
90,C,ae,Project Management,22,high
91,A,aa,Project Management,29,low
92,D,ad,Engineer,5,high
93,B,ad,Engineer,26,medium
94,A,aa,Maintenance,32,low
95,D,ac,Engineer,11,high
96,D,ad,Project Management,10,high
97,B,ab,Maintenance,33,medium
98,D,ac,Project Management,9,high
99,C,ad,Engineer,12,high
100,B,ad,Project Management,18,medium
101,C,ad,Engineer,10,high
102,D,ad,Project Management,8,high
103,B,ac,Project Management,30,medium
104,B,ac,Project Management,24,medium
105,C,ae,Project Management,9,high
106,B,ad,Project Management,17,medium
107,C,ac,Maintenance,25,medium
108,A,ac,Project Management,35,low
109,B,ab,Maintenance,32,medium
110,A,ac,Maintenance,33,low
111,D,ad,Project Management,8,high
112,A,aa,Project Management,52,low
113,D,ad,Project Management,12,high
114,B,aa,Project Management,43,low
115,D,ac,Project Management,9,high
116,C,ad,Project Management,15,high
117,C,ac,Project Management,22,high
118,D,ac,Project Management,6,high
119,B,ad,Project Management,29,medium
120,C,ac,Engineer,14,high
121,D,ae,Project Management,12,high
122,B,aa,Project Management,31,low
123,A,ac,Project Management,49,low
124,B,aa,Project Management,34,low
125,D,ad,Engineer,9,high
126,A,ac,Project Management,36,low
127,B,ad,Engineer,20,medium
128,D,ad,Engineer,20,high
129,B,ac,Project Management,49,low
130,C,ab,Maintenance,35,medium
131,A,aa,Project Management,34,low
132,A,aa,Project Management,41,low
133,A,ac,Maintenance,39,low
134,C,ae,Engineer,3,high
135,C,ad,Project Management,21,medium
136,C,ac,Engineer,5,high
137,C,ac,Maintenance,21,medium
138,C,ae,Project Management,12,high
139,B,aa,Maintenance,39,low
140,B,ac,Maintenance,52,low
141,D,ae,Project Management,15,high
142,C,ae,Engineer,14,high
143,A,ab,Project Management,30,low
144,B,ad,Project Management,26,medium
145,A,aa,Project Management,43,low
146,C,ac,Project Management,10,high
147,B,ab,Maintenance,16,medium
148,C,ab,Engineer,16,medium
149,D,ad,Engineer,21,high
150,C,ad,Engineer,9,high
151,B,ab,Project Management,34,low
152,A,ab,Maintenance,47,low
153,C,ae,Project Management,11,high
154,A,ab,Maintenance,37,low
155,B,ad,Engineer,16,medium
156,B,aa,Maintenance,41,low
157,D,ae,Project Management,14,high
158,B,aa,Maintenance,34,low
159,B,aa,Maintenance,31,low
160,B,ac,Engineer,19,medium
161,C,ae,Engineer,18,high
162,B,ab,Project Management,38,low
163,C,ac,Engineer,21,high
164,D,ae,Project Management,18,high
165,B,ac,Engineer,15,medium
166,A,ac,Project Management,28,low
167,B,ac,Project Management,25,medium
168,B,ac,Project Management,20,medium
169,B,ad,Project Management,18,medium
170,D,ac,Project Management,7,high
171,C,ad,Engineer,24,medium
172,B,ab,Maintenance,22,medium
173,B,ab,Maintenance,43,low
174,C,ab,Maintenance,22,medium
175,A,aa,Maintenance,31,low
176,B,ad,Engineer,29,medium
177,C,ac,Project Management,8,high
178,C,ad,Project Management,14,high
179,B,ad,Project Management,20,medium
180,B,ac,Project Management,26,medium
181,A,ac,Project Management,29,low
182,B,ac,Project Management,39,low
183,B,ad,Project Management,21,medium
184,C,ac,Engineer,14,high
185,D,ad,Project Management,17,high
186,C,ab,Project Management,21,medium
187,B,ab,Engineer,17,medium
188,A,ac,Project Management,29,low
189,B,aa,Project Management,42,low
190,D,ae,Project Management,13,high
191,B,ab,Maintenance,25,medium
192,B,ac,Engineer,33,medium
193,A,ab,Maintenance,51,low
194,B,ac,Project Management,43,low
195,D,ac,Project Management,18,high
196,D,ae,Engineer,17,high
197,B,aa,Project Management,40,low
198,D,ae,Project Management,8,high
199,B,ac,Project Management,37,low
200,B,ab,Maintenance,36,low
201,A,ab,Maintenance,35,low
202,A,ac,Project Management,42,low
203,B,ad,Project Management,16,medium
204,D,ae,Project Management,10,high
205,B,ab,Maintenance,52,low
206,B,ab,Project Management,35,medium
207,B,ab,Project Management,21,medium
208,A,ab,Maintenance,31,low
209,C,ac,Engineer,18,high
210,A,ab,Project Management,47,low
211,D,ac,Project Management,3,high
212,D,ad,Project Management,9,high
213,A,ab,Maintenance,32,low
214,D,ad,Project Management,3,high
215,A,ac,Maintenance,37,low
216,D,ae,Project Management,5,high
217,B,ab,Engineer,24,medium
218,C,ac,Engineer,18,high
219,B,ab,Maintenance,30,low
220,C,ad,Engineer,30,medium
221,B,ab,Maintenance,23,medium
222,B,ab,Project Management,16,medium
223,B,ab,Project Management,17,medium
224,C,ae,Engineer,15,high
225,A,aa,Project Management,47,low
226,B,ac,Maintenance,41,low
227,C,ae,Engineer,6,high
228,B,ad,Maintenance,15,medium
229,B,ac,Project Management,33,low
230,A,ac,Maintenance,42,low
231,B,ac,Maintenance,32,low
232,A,aa,Project Management,32,low
233,A,ac,Project Management,49,low
234,D,ad,Engineer,16,high
235,B,ac,Project Management,28,medium
236,D,ad,Engineer,5,high
237,B,aa,Project Management,48,low
238,C,ad,Engineer,31,medium
239,C,ab,Project Management,28,medium
240,C,ab,Engineer,33,medium
241,B,aa,Project Management,28,low
242,B,ab,Project Management,25,medium
243,B,ac,Engineer,20,medium
244,B,ad,Engineer,24,medium
245,A,ac,Project Management,36,low
246,C,ad,Maintenance,25,medium
247,A,aa,Maintenance,35,low
248,D,ae,Project Management,12,high
249,B,ab,Maintenance,34,low
250,C,ad,Project Management,21,high
251,C,ac,Engineer,4,high
252,D,ae,Project Management,6,high
253,D,ad,Engineer,3,high
254,D,ac,Engineer,8,high
255,B,ad,Maintenance,24,medium
256,A,aa,Project Management,30,low
257,B,ab,Engineer,25,medium
258,B,ab,Maintenance,38,low
259,B,ad,Engineer,33,medium
260,B,ad,Maintenance,26,medium
261,C,ac,Engineer,20,high
262,D,ac,Engineer,9,high
263,A,ab,Project Management,46,low
264,A,ac,Project Management,49,low
265,C,ae,Engineer,6,high
266,B,ac,Maintenance,48,low
267,A,aa,Project Management,39,low
