Assessment_Text,Endoscopy,Colonoscopy,Lumbar_puncture,MRI,PET,XRAY
"In cases of dysphagia, an endoscopic examination is recommended.",1,0,0,0,0,0
Patients presenting with persistent abdominal pain and bloating should undergo a colonoscopy.,0,1,0,0,0,0
"When severe headache and neck stiffness are observed, a lumbar puncture is required for further evaluation.",0,0,1,0,0,0
An MRI is necessary for patients with a history of seizures to evaluate brain activity.,0,0,0,1,0,0
"In instances of unexplained weight loss and fatigue, a PET scan should be performed to check for tumors.",0,0,0,0,1,0
An X-ray is required for patients reporting persistent knee pain after a fall to assess possible fractures.,0,0,0,0,0,1
Endoscopy is advised for patients experiencing chronic acid reflux symptoms.,1,0,0,0,0,0
Colonoscopy is necessary for patients presenting with signs of anemia and rectal bleeding.,0,1,0,0,0,0
"In cases of severe back pain, both MRI and lumbar puncture are suggested.",0,0,1,0,0,0
"In cases of severe back pain, both MRI and lumbar puncture are suggested.",0,0,0,1,0,0
"For patients with a history of smoking and a persistent cough, a PET scan and X-ray are recommended for lung assessment.",0,0,0,0,1,0
"For patients with a history of smoking and a persistent cough, a PET scan and X-ray are recommended for lung assessment.",0,0,0,0,0,1
Suspected gallstone cases should undergo endoscopy and X-ray examinations.,1,0,0,0,0,1
Changes in bowel habits and abdominal pain warrant a colonoscopy.,0,1,0,0,0,0
Persistent neck pain calls for lumbar puncture and MRI evaluations.,0,0,1,0,0,0
Persistent neck pain calls for lumbar puncture and MRI evaluations.,0,0,0,1,0,0
Patients exhibiting memory loss and confusion should have an MRI to evaluate brain structure.,0,0,0,1,0,0
Unusual moles on the skin necessitate a PET scan to check for melanoma.,0,0,0,0,1,0
Swollen ankles following a fall should be assessed with an X-ray to determine the severity of the injury.,0,0,0,0,0,1
Difficulty swallowing and heartburn cases should be evaluated with an endoscopy.,1,0,0,0,0,0
Blood in stool requires a colonoscopy for further examination.,0,1,0,0,0,0
Severe headache and fever may indicate meningitis; a lumbar puncture is advised for diagnosis.,0,0,1,0,0,0
Loss of balance and coordination should be investigated with an MRI for potential neurological disorders.,0,0,0,1,0,0
Unusual growth in the abdomen warrants a PET scan for further evaluation.,0,0,0,0,1,0
Chest pain and shortness of breath call for an X-ray to assess lung health.,0,0,0,0,0,1
Endoscopic examination is advised in cases of persistent gastroesophageal reflux disease.,1,0,0,0,0,0
Patients presenting with unexplained iron deficiency anemia should undergo colonoscopy.,0,1,0,0,0,0
"Upon observation of symptoms indicating possible multiple sclerosis, lumbar puncture may be required for further evaluation.",0,0,1,0,0,0
"For patients with sudden-onset severe headaches, an MRI is necessary to assess possible underlying causes.",0,0,0,1,0,0
"In the presence of symptoms suggesting lymphoma, a PET scan is recommended to check for malignancy.",0,0,0,0,1,0
An X-ray is advised for patients experiencing acute wrist pain after trauma to assess potential fractures.,0,0,0,0,0,1
Upper endoscopy should be considered for patients with suspected peptic ulcers.,1,0,0,0,0,0
